ProductOrServiceCode,ProductOrServiceCodeText,Simple,IsService,ProductOrServiceArea,ProductServiceOrRnDarea
E1ME,E1ME PURCHASE OF EPG FACILITIES - NUCLEAR,Services,TRUE,FRS,FRS
E1MF,PURCHASE OF EPG FACILITIES - PETROLEUM,Services,TRUE,FRS,FRS
E1MG,PURCHASE OF EPG FACILITIES - SOLAR,Services,TRUE,FRS,FRS
E1MH,E1MH PURCHASE OF EPG FACILITIES - WIND,Services,TRUE,FRS,FRS
E1MZ,"Purchase of EPG facilities - other, including transmission",Services,TRUE,FRS,FRS
E1NA,PURCHASE OF FUEL SUPPLY FACILITIES,Services,TRUE,FRS,FRS
E1NB,PURCHASE OF HEATING AND COOLING PLANTS,Services,TRUE,FRS,FRS
E1NC,PURCHASE OF POLLUTION ABATEMENT AND CONTROL FACILITIES,Services,TRUE,FRS,FRS
E1ND,PURCHASE OF SEWAGE AND WASTE FACILITIES,Services,TRUE,FRS,FRS
E1NE,PURCHASE OF WATER SUPPLY FACILITIES,Services,TRUE,FRS,FRS
E1NZ,PURCHASE OF OTHER UTILITIES,Services,TRUE,FRS,FRS
E1PA,PURCHASE OF RECREATIONAL FACILITIES (NON-BUILDING),Services,TRUE,FRS,FRS
E1PB,PURCHASE OF EXHIBIT DESIGN (NON-BUILDING),Services,TRUE,FRS,FRS
E1PC,PURCHASE OF UNIMPROVED REAL PROPERTY (LAND),Services,TRUE,FRS,FRS
E1PD,PURCHASE OF WASTE TREATMENT AND STORAGE FACILITIES,Services,TRUE,FRS,FRS
E1PZ,PURCHASE OF OTHER NON-BUILDING FACILITIES,Services,TRUE,FRS,FRS
E1QA,PURCHASE OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),Services,TRUE,FRS,FRS
E211,PURCHASE OF DAMS,Services,TRUE,FRS,FRS
E213,PURCH OF GOVT MINE FIRE CONT,Services,TRUE,FRS,FRS
E214,PURCH OF GOVT MINE SUBSIDENCE CONT,Services,TRUE,FRS,FRS
E215,PURCH OF GOVT SURFACE MINE RECLAM,Services,TRUE,FRS,FRS
E216,PURCHASE OF DREDGING,Services,TRUE,FRS,FRS
E219,PURCH OF GOVT OTHER CONSV STRUCTURE,Services,TRUE,FRS,FRS
E221,PURCHASE OF AIRPORT SERVICE ROADS,Services,TRUE,FRS,FRS
E222,PURCH OF GOVT HWYS-RDS-STS-BRDGS-RA,Services,TRUE,FRS,FRS
E223,PURCH OF GOVT TUNNELS-SUBSURF STRUC,Services,TRUE,FRS,FRS
E224,PURCH OF GOVT PARKING FACILITIES,Services,TRUE,FRS,FRS
E232,PURCHASE OF EPG FACILITIES - GAS,Services,TRUE,FRS,FRS
E233,PURCH OF GOVT EPG - GEOTHERMAL,Services,TRUE,FRS,FRS
E235,PURCH OF GOVT EPG - NUCLEAR,Services,TRUE,FRS,FRS
E236,PURCH OF GOVT EPG - PETROLEUM,Services,TRUE,FRS,FRS
E237,PURCHASE OF EPG FACILITIES - SOLAR,Services,TRUE,FRS,FRS
E239,PURCH OF GOVT EPG - OTHER,Services,TRUE,FRS,FRS
E241,PURCHASE OF FUEL SUPPLY FACILITIES,Services,TRUE,FRS,FRS
E242,PURCH OF GOVT HEATING & COOL PLANTS,Services,TRUE,FRS,FRS
E243,PURCH OF GOVT POLLUTION ABATEMENT,Services,TRUE,FRS,FRS
E244,PURCH OF GOVT SEWAGE & WASTE,Services,TRUE,FRS,FRS
E245,PURCHASE OF WATER SUPPLY FACILITIES,Services,TRUE,FRS,FRS
E249,PURCHASE OF OTHER UTILITIES,Services,TRUE,FRS,FRS
E291,PURCH OF GOVT RECREA NON-BLDG STRUC,Services,TRUE,FRS,FRS
E292,PURCH OF GOVT EXHIBIT (NON BLDG),Services,TRUE,FRS,FRS
E293,PURCH OF GOVT UNIMPROVED REAL PROP,Services,TRUE,FRS,FRS
E294,PURCH OF GOVT WASTE TRMT-STORE FAC,Services,TRUE,FRS,FRS
E299,PURCH OF GOVT ALL OTHR NON-BLDG FAC,Services,TRUE,FRS,FRS
E300,PURCH OF GOVT RESTORATION,Services,TRUE,FRS,FRS
F001,AERIAL FERTILIZATION - SPRAYING,Services,TRUE,FRS,FRS
F002,AERIAL SEEDING SERVICES,Services,TRUE,FRS,FRS
F003,FOREST-RANGE FIRE SUPPRESSION,Services,TRUE,FRS,FRS
F004,FOREST-RANGE FIRE REHABILITATION,Services,TRUE,FRS,FRS
F005,FOREST TREE PLANTING SERVICES,Services,TRUE,FRS,FRS
F006,LAND TREATMENT PRACTICES,Services,TRUE,FRS,FRS
F007,NATURAL RESOURCES/CONSERVATION- RANGE SEEDING (GROUND EQUIPMENT),Services,TRUE,FRS,FRS
F008,NATURAL RESOURCES/CONSERVATION- RECREATION SITE MAINTENANCE (NON-CONSTRUCTION),Services,TRUE,FRS,FRS
F009,NATURAL RESOURCES/CONSERVATION- SEED COLLECTION/PRODUCTION,Services,TRUE,FRS,FRS
F010,NATURAL RESOURCES/CONSERVATION- SEEDLING PRODUCTION/TRANSPLANTING,Services,TRUE,FRS,FRS
F011,NATURAL RESOURCES/CONSERVATION- SURFACE MINING RECLAMATION (NON-CONSTRUCTION),Services,TRUE,FRS,FRS
F012,NATURAL RESOURCES/CONSERVATION- SURVEY LINE CLEARING,Services,TRUE,FRS,FRS
F013,NATURAL RESOURCES/CONSERVATION- TREE BREEDING,Services,TRUE,FRS,FRS
F014,NATURAL RESOURCES/CONSERVATION- TREE THINNING,Services,TRUE,FRS,FRS
F015,NATURAL RESOURCES/CONSERVATION- WELL DRILLING/EXPLORATORY,Services,TRUE,FRS,FRS
F016,NATURAL RESOURCES/CONSERVATION- WILDHORSE/BURRO CONTROL,Services,TRUE,FRS,FRS
F018,NATURAL RESOURCES/CONSERVATION- OTHER FOREST/RANGE IMPROVEMENTS (NON-CONSTRUCTION),Services,TRUE,FRS,FRS
F019,NATURAL RESOURCES/CONSERVATION- OTHER WILDLIFE MANAGEMENT,Services,TRUE,FRS,FRS
F020,FISHERIES RES MGMT,Services,TRUE,FRS,FRS
F021,NATURAL RESOURCES/CONSERVATION- SITE PREPARATION,Services,TRUE,FRS,FRS
F022,FISH HATCHERY SERVICES,Services,TRUE,FRS,FRS
F099,NATURAL RESOURCES/CONSERVATION- OTHER,Services,TRUE,FRS,FRS
F101,AIR QUALITY SUPPORT SERVICES,Services,TRUE,FRS,FRS
F102,IND INVEST SURV/TCH SUP,Services,TRUE,FRS,FRS
F103,ENVIRONMENTAL SYSTEMS PROTECTION- WATER QUALITY SUPPORT,Services,TRUE,FRS,FRS
F104,Surveys & Technical Support Rel to Water Pollution,Services,TRUE,FRS,FRS
F105,ENVIRONMENTAL SYSTEMS PROTECTION- PESTICIDES SUPPORT,Services,TRUE,FRS,FRS
F106,TOXIC SUBSTANCES SUPPORT SERVICES,Services,TRUE,FRS,FRS
F107,ENVIRONMENTAL SYSTEMS PROTECTION- TOXIC AND HAZARDOUS SUBSTANCE ANALYSIS,Services,TRUE,FRS,FRS
